ancine_id,distributor_movies_exhibited,distributor_origin
E1402319200000,17,international
E1600584400000,44,national
B0900991000000,9,national
E1500196500000,40,international
E1600634700000,18,national
E1600587500000,61,national
E1600593000000,18,national
E1600587700000,61,national
E1600587900000,20,international
E1600590000000,18,national
E1600620200000,33,national
E1600556700000,10,national
E1500530400000,68,international
E1500096000000,20,international
B0901035900000,44,national
E1500468200000,29,national
E1500487000000,29,national
E1600588900000,30,national
E1600589000000,61,national
E1600542900000,10,national
B0901117100000,2,national
E1600590100000,10,national
E1600613800000,23,national
E1402598500000,25,international
E1600626900000,25,international
E1600636400000,10,national
E1500773300000,18,national
B0901020100000,44,national
E1402820400000,44,national
E1600637100000,44,national
E1600621900000,68,international
E1600400500000,68,international
E1600563600000,30,national
E1600592800000,68,international
E1600593100000,18,national
B0800830200000,1,national
E1600593200000,33,national
E1600593700000,40,national
E1600557000000,18,national
E1600622500000,23,national
B0901025700000,1,national
E1500273400000,29,national
B0800855600000,40,national
E1600549700000,33,national
E1600601400000,44,national
E1600640700000,18,national
B0901082400000,1,national
E1500482600000,68,international
E1600608400000,23,national
E1600608000000,25,international
E1500171500000,33,national
B0800888700000,12,national
E1402628900000,17,international
B0901041200000,10,national
B0901057200000,2,national
E1600582400000,61,national
B0901027100000,1,national
E1600553700000,40,international
E1600609200000,23,national
E1600630500000,44,national
E1600631700000,18,national
E1600607200000,44,national
E1600631900000,61,national
E1600619500000,68,international
B0901029800000,20,international
E1500121800000,25,international
E1500166000000,20,international
E1402795900000,20,international
E1600640500000,40,international
B0900971300000,3,national
E1500919200000,23,national
E1402824700000,68,international
E1600583300000,40,international
B0800820600000,1,national
E1600576600000,12,national
E1600576700000,40,international
B0800964000000,40,international
E1600632200000,44,national
E1500819600000,30,national
E1600632300000,29,national
B0900987100000,68,international
B0901024100000,1,national
E1600577600000,27,national
E1600626100000,68,international
E1402824600000,68,international
E1600632700000,25,international
E1402595000000,18,national
E1500792700000,40,international
E1600541200000,30,national
E1600468700000,68,international
B0901061400000,44,national
B0800891200000,40,national
E1600626000000,29,national
E1600638800000,44,national
B0800917000000,27,national
E1600611900000,40,national
E1600612000000,61,national
B0800925600000,1,national
B0800827400000,27,national
E1600540200000,40,international
E1500529000000,68,international
E1600613200000,44,national
E1600613400000,61,national
E1600612900000,44,national
B0901002100000,3,national
E1500468000000,29,national
B0901071800000,40,national
E1500894100000,68,international
E1600624000000,30,national
E1600609300000,44,national
E1600584000000,68,international
E1600620100000,29,national
E1600621200000,27,national
B0901072300000,1,collaboration
E1402747400000,20,international
B0800958700000,40,international
B0901050700000,61,national
E1600633300000,29,national
B0901079200000,12,national
E1600176700000,44,national
B0901001900000,1,national
E1600622900000,29,national
E1600333900000,17,international
E1600638300000,20,international
B0901010000000,3,national
E1600588600000,44,national
E1600627900000,44,national
B0901108200000,1,national
E1402648600000,17,international
E1600627200000,61,national
E1600470900000,68,international
E1600551200000,33,national
E1500045900000,68,international
E1600633400000,33,national
B0901022100000,9,national
E1600576300000,68,international
E1600628400000,12,national
E1600561600000,44,national
E1600637800000,20,international
E1600633800000,68,international
E1600599500000,44,national
B0800925800000,18,national
E1600590200000,29,national
E1600634800000,23,national
E1600635000000,61,national
B0901039400000,1,national
E1600633900000,68,international
E1402345200000,17,international
E1600117000000,2,national
E1500530700000,23,national
E1500288700000,68,international
B0901010400000,1,national
E1402434000000,17,international
B0500444500000,1,national
E1600636000000,29,national
B0901019900000,27,national
E1600636100000,27,national
E1600546200000,18,national
E1600634200000,29,national
E1500204900000,40,international
E1402591100000,33,national
E1600589400000,29,national
E1500587900000,68,international
E1500883100000,68,international
B0901006300000,6,national
E1402488100000,25,international
B0800959100000,30,national
E1600636700000,44,national
E1500623800000,29,national
E1600637700000,12,national
E1600639100000,10,national
E1600637600000,10,national
E1600639400000,27,national
B0800852600000,2,national
E1402563700000,17,international
E1600606100000,40,international
B0901096800000,33,national
B0901041400000,1,national
E1600546300000,72,national
E1600593400000,115,national
B1001259800000,68,national
B1001180900000,1,collaboration
E1500426400000,84,national
B0400104300000,1,national
E1600544700000,54,national
E1600628600000,84,national
B0901007400000,2,national
E1500429200000,84,national
E1600629000000,63,national
B1001302600000,2,national
E1600629100000,115,national
B1001236800000,14,national
E1600609400000,45,international
E1600629200000,54,national
E1402466600000,45,international
E1600629300000,54,national
E1600584100000,72,national
E1500095500000,45,international
E1600588000000,68,national
E1500053000000,131,international
E1500429100000,84,national
E1600637300000,84,national
E1500804900000,63,national
E1500426500000,84,national
B1001283500000,30,international
E1600592100000,131,international
E1600470000000,131,international
E1500439900000,84,national
E1600555600000,63,national
B0800935800000,2,national
E1600582700000,7,national
E1500291700000,131,international
E1600557600000,54,national
E1600540500000,72,international
E1500917600000,72,international
E1600541900000,45,international
E1600640100000,84,national
B1001330500000,68,national
E1600629800000,39,national
E1402565500000,30,international
E1600588500000,72,national
B0901121200000,84,national
E1600546000000,54,national
B0500378700000,14,national
B1001319100000,30,international
E1600563300000,72,national
E1600639600000,5,national
B1001256000000,1,national
E1600640300000,72,international
B1001172500000,1,collaboration
E1500429000000,84,national
E1500623700000,63,national
E1402489200000,30,international
E1600629900000,45,international
E1500146000000,39,national
E1700239200000,72,international
B1001164600000,11,national
E1600540600000,63,national
E1600552900000,68,national
B0901126600000,1,national
E1500732800000,68,national
B1001260400000,54,national
E1600090800000,131,international
E1600541100000,131,international
B0901062000000,115,national
E1600630200000,54,national
E1600176100000,63,national
E1500908500000,30,international
E1600556200000,68,national
E1600556600000,39,national
B1001148600000,3,collaboration
B1001133500000,63,national
B1001237700000,15,national
E1500668100000,115,national
E1500426700000,84,national
E1600030600000,131,international
E1600541000000,45,international
B1001214400000,54,national
E1600000300000,30,international
E1600557100000,84,national
E1600640400000,84,national
E1600550600000,115,national
E1600091300000,72,international
E1500430500000,84,national
E1600561700000,72,international
E1600562800000,42,international
B0901099400000,1,national
E1600553600000,27,national
E1600544900000,68,national
E1600092000000,63,national
E1600607800000,115,national
E1600549300000,63,national
B1001189100000,1,national
E1402583000000,115,national
E1600583900000,68,national
B1001211600000,115,national
E1600550700000,131,international
B0700747100000,11,national
B0901027700000,2,national
E1600630400000,68,national
B0901062900000,2,national
E1600593300000,72,international
E1600582500000,72,national
E1600554000000,39,national
E1600540900000,84,national
E1600262800000,72,international
B1001147500000,72,international
E1600542500000,5,national
B0800966100000,4,national
E1600583500000,115,national
E1600562600000,115,national
B1001205200000,14,national
E1500296900000,45,international
E1600584500000,68,national
E1402433500000,131,international
E1600562700000,115,national
B1001311400000,5,national
E1500390400000,84,national
E1600620300000,68,national
E1500138700000,45,international
B1001136000000,131,international
B0901099200000,5,national
E1500426800000,84,national
E1600432700000,131,international
E1500238500000,45,international
E1402594900000,30,international
E1600609500000,7,national
B1001166000000,54,national
E1600628200000,68,national
E1500238600000,45,international
E1600592200000,30,international
B0700719500000,27,national
E1500425800000,84,national
B1001318000000,11,national
E1600601700000,45,international
E1600548700000,131,international
E1402579500000,42,international
E1500922000000,63,national
B1001182400000,1,national
E1600544800000,7,national
E1600606300000,39,national
B0901107200000,1,national
E1600544600000,72,national
E1600606800000,131,international
E1600606900000,115,national
E1600557300000,115,national
E1600582900000,63,national
E1600607600000,72,international
E1600443800000,68,national
E1402667900000,30,international
E1402519900000,42,international
B1001312200000,3,national
E1600607900000,131,international
E1600637900000,115,national
E1500426200000,84,national
E1500426100000,84,national
B0901023600000,1,national
E1600608600000,23,national
E1600545000000,63,national
B1001282000000,4,national
E1402612200000,42,international
E1600610900000,115,national
E1600609000000,63,national
B0600623600000,1,national
E1600609700000,131,international
E1600609800000,45,international
E1600613900000,10,national
E1600563400000,72,national
B1001259400000,72,international
B1001203400000,1,national
E1600606600000,68,national
B0901126500000,11,national
E1402766100000,131,international
B1001236300000,131,international
E1600631800000,115,national
E1600588100000,115,national
E1600544200000,63,national
E1600632000000,63,national
E1600632100000,23,national
E1700239300000,39,national
E1600635100000,72,international
E1500426600000,84,national
E1500441100000,84,national
E1500441300000,84,national
B0700799200000,4,national
E1500931800000,30,international
B0901113900000,11,national
E1600599800000,115,national
E1500919700000,131,international
E1500081600000,42,international
E1600593900000,7,national
E1600638600000,68,national
E1600632400000,131,international
E1600588400000,115,national
E1600600300000,115,national
E1600556900000,68,national
E1600549200000,131,international
E1600010400000,115,national
E1600600400000,115,national
E1500819700000,54,national
B1001282200000,72,national
E1600625800000,39,national
E1600632800000,68,national
E1600215900000,30,international
E1600611000000,68,national
B0901121700000,84,national
E1500195500000,45,international
E1500460800000,84,national
E1600632900000,23,national
B1001143200000,45,international
E1500453200000,84,national
B0901090500000,72,national
E1600633100000,39,national
E1402837100000,131,international
E1600636500000,72,international
B0901059800000,15,national
E1600611700000,84,national
E1500819400000,68,national
E1500426300000,84,national
E1600612400000,5,national
E1600576500000,5,national
E1600612600000,7,national
E1600537000000,72,international
E1402419000000,84,national
E1600633200000,131,international
E1600584200000,68,national
E1600613600000,68,national
E1500234200000,72,international
E1600583600000,68,national
E1500449500000,131,international
E1600549600000,115,national
B1001257100000,11,national
E1600636800000,54,national
E1600562000000,131,international
B1001188500000,131,international
E1600619800000,68,national
E1500879300000,63,national
B1001172900000,1,national
E1600410800000,131,international
B0700745800000,11,national
E1402599200000,42,international
E1600621400000,131,international
E1600336000000,42,international
E1500881300000,63,national
B1001182000000,54,national
E1500325400000,23,national
E1402669100000,42,international
E1600613300000,131,international
E1600545600000,45,international
E1500242200000,45,international
E1600623400000,30,international
E1402577200000,42,international
E1600537600000,68,national
B0901101600000,14,national
B1001271700000,5,national
B0901120600000,11,national
E1600401700000,63,national
B1001160300000,54,national
E1600626200000,115,national
B1001311300000,5,national
E1600401000000,131,international
B1001298600000,15,national
B1001162900000,3,national
E1500650700000,115,national
E1600633500000,27,national
E1600633700000,63,national
B1001251100000,72,international
E1500326100000,131,international
E1500029300000,131,international
B1001296000000,1,national
E1600639800000,39,national
E1600635400000,23,national
E1600635700000,39,national
E1600552500000,63,national
E1600634100000,42,international
E1600635900000,1,national
E1600549400000,42,international
B1001165300000,1,national
E1600637200000,3,national
E1600601000000,115,national
E1402594800000,30,international
E1500576600000,45,international
E1600588300000,115,national
E1500095300000,45,international
E1600545100000,63,national
B1001229000000,15,national
E1600091400000,72,international
B1001187000000,1,national
E1500793000000,115,national
B0901083500000,11,national
E1600552300000,84,national
B1001311200000,131,international
E1600634400000,63,national
E1600556000000,68,national
E1600639000000,7,national
E1600638700000,63,national
E1600639500000,72,international
E1402612100000,42,international
E1500800400000,131,international
E1500203600000,5,national
E1600546400000,101,international
B1001247700000,97,national
E1500087700000,20,national
B1101416000000,101,international
B1101441600000,22,national
B1101377300000,127,national
E1600628500000,97,national
E1500425100000,127,national
E1600214400000,16,national
E1600220900000,96,national
B1101379600000,1,national
E1500259700000,82,international
E1600197400000,127,national
E1600202400000,5,national
E1500856400000,177,national
E1600594600000,21,national
B1101396800000,22,national
E1402599900000,127,national
B1001327400000,20,national
E1402744200000,82,international
E1600218500000,12,international
E1600132800000,99,national
B0800959200000,20,national
E1600552700000,57,national
E1600219700000,177,national
E1402612500000,59,international
E1500616400000,99,national
E1600243500000,99,national
E1600626700000,4,national
E1500718100000,174,international
E1600414300000,11,national
E1600212700000,177,national
E1402439500000,101,international
B1001308900000,20,national
E1402769100000,82,international
B1101460800000,101,international
E1600217700000,174,international
E1500297000000,82,international
E1500229000000,101,international
B1101362100000,4,national
E1600212800000,11,national
E1600247500000,96,national
E1600136600000,96,national
E1500839600000,96,national
B1101520600000,22,national
B1101385900000,1,national
B1101377100000,99,national
E1500264100000,42,national
E1600542100000,101,international
B1101449600000,101,international
E1600213800000,57,national
E1500427200000,127,national
E1402489300000,51,international
E1600239700000,96,national
B1101371900000,20,national
B1101483300000,99,national
E1600552400000,16,national
E1600552200000,72,national
B1001191000000,16,national
E1600630000000,174,international
E1500881600000,99,national
B1001319200000,22,national
E1500458400000,177,national
B1101348300000,127,national
E1402711700000,51,international
B1001298800000,174,international
B1101347100000,1,national
E1600553900000,174,international
E1500426900000,127,national
E1600248000000,57,national
E1600213300000,6,national
B1101496800000,127,national
E1600202000000,51,international
E1500655800000,12,international
B1001293100000,20,national
E1500050300000,21,national
B1101406900000,1,national
E1500574500000,2,national
E1600553000000,101,international
E1402371600000,177,national
E1500425900000,127,national
E1500205100000,101,international
E1600203000000,57,national
E1500427400000,127,national
E1600214100000,82,international
E1500424800000,127,national
E1600136400000,11,national
E1600197600000,97,national
E1600558200000,177,national
E1500441200000,127,national
B0901102500000,21,national
B1001292600000,1,national
B0901050500000,21,national
E1402595200000,51,international
B0800963900000,20,national
B1001303400000,127,national
B1001305900000,2,national
E1500881700000,51,international
B1101515400000,1,national
B1101459300000,20,national
E1600247400000,82,international
B1001315900000,8,national
E1500429300000,127,national
E1600216500000,101,international
B1101413800000,20,national
E1600563200000,177,national
E1600247700000,99,national
B1001205900000,4,national
B1001192900000,16,national
E1600197500000,96,national
B1101442800000,23,national
B1001187800000,16,national
E1600197800000,177,national
E1600590300000,57,national
B1101365800000,20,national
E1600065600000,174,international
E1600606200000,51,international
E1500427500000,127,national
E1600134600000,174,international
E1500587800000,177,national
B1101415000000,127,national
B1001340200000,20,national
B1101389300000,20,national
E1600203700000,97,national
B0800959600000,23,national
E1600214600000,59,international
E1600221500000,12,international
E1600213500000,42,national
B1101422700000,20,national
B1101413400000,96,national
E1600134200000,177,national
B1001284500000,16,national
E1600583700000,2,national
E1600542300000,57,national
E1500458900000,96,national
E1600135600000,82,international
E1600219600000,177,national
E1402629100000,51,international
E1600217600000,3,national
E1402766200000,12,international
E1600216600000,101,international
E1500419800000,127,national
E1600244400000,3,national
E1600211500000,99,national
E1500589800000,82,international
E1500193700000,82,international
E1600213700000,6,national
E1500674500000,177,national
E1402603700000,59,international
E1500881800000,5,national
E1500614300000,1,national
E1500419300000,127,national
E1600590500000,177,national
E1500205000000,101,international
E1600216900000,174,international
E1600135300000,174,international
E1600638000000,57,national
B1001190900000,57,national
E1600216400000,177,national
B1101457300000,23,national
E1600583000000,99,national
E1402595300000,51,international
E1600593500000,51,international
E1600414200000,82,international
E1600219200000,99,national
E1500882100000,16,national
B1001317800000,23,national
B1001276700000,18,national
E1600203400000,6,national
B1001321100000,82,international
E1600203500000,96,national
B1001259500000,8,national
B0901034700000,72,national
E1600607100000,177,national
E1600217800000,96,national
B1001294000000,72,national
E1600214200000,99,national
E1600218400000,177,national
E1600219100000,99,national
E1402417400000,57,national
B1101490400000,177,national
E1600134400000,177,national
E1402378100000,59,international
E1402327800000,51,international
B1201546800000,20,national
B1101368000000,1,national
E1600221800000,99,national
E1600240000000,177,national
E1600247800000,101,international
B1001205400000,97,national
B1101438800000,127,national
E1500424000000,127,national
E1600202100000,5,national
B1101378300000,1,national
B1001344800000,1,national
E1600210900000,82,international
E1600606700000,2,national
E1600220200000,99,national
B1101373600000,20,national
E1600219400000,16,national
E1600010100000,99,national
B1101397500000,99,national
E1500668900000,177,national
E1500882500000,16,national
E1600214300000,174,international
E1600221400000,177,national
B1101427400000,51,international
E1500882900000,96,national
B1101424800000,22,national
E1600636600000,96,national
E1402704300000,96,national
B1101456100000,127,national
E1600202500000,101,international
E1500421500000,127,national
E1500229100000,101,international
E1600608100000,177,national
E1402714000000,59,international
E1600563700000,72,national
E1402853400000,82,international
B1001318100000,97,national
E1600619600000,16,national
E1500073000000,174,international
E1600042700000,57,national
B1001320600000,20,national
E1500427000000,127,national
E1402632000000,174,international
B1101461100000,101,international
E1500717800000,174,international
B1101491200000,82,international
E1402612600000,59,international
E1500423900000,127,national
B1101472100000,20,national
E1600213100000,12,international
E1500651400000,5,national
E1600203600000,101,international
B1101460700000,20,national
E1600202900000,174,international
E1600216800000,96,national
E1600218800000,35,national
B1001193400000,20,national
E1600132600000,174,international
B1101497100000,2,national
E1500415700000,127,national
E1600197700000,177,national
E1402768100000,82,international
E1500881500000,99,national
E1500545800000,12,international
E1402373900000,177,national
B1101460100000,16,national
E1600220500000,177,national
E1600218000000,82,international
E1600219000000,174,international
E1500426000000,127,national
E1600218600000,96,national
B1101510800000,1,national
E1600214000000,101,international
B1101431800000,12,international
E1600222000000,4,national
B1001224800000,20,national
B1101411000000,22,national
E1500192100000,82,international
B1101498800000,2,national
E1402517800000,51,international
E1500423700000,127,national
E1600221700000,99,national
E1500423100000,127,national
B1001296100000,22,national
E1600221100000,12,international
E1600619900000,72,national
E1600246800000,57,national
E1600221900000,101,international
B1101443200000,42,national
B1101461600000,18,national
E1600601600000,177,national
E1402608200000,59,international
E1500427300000,127,national
E1600621700000,99,national
E1600621800000,4,national
E1600219900000,82,international
E1600212500000,177,national
E1500419900000,127,national
E1600244800000,99,national
B1101397900000,18,national
E1600133700000,51,international
B1001307300000,23,national
E1600135000000,35,national
E1500397200000,96,national
B1001324700000,3,national
E1500883000000,57,national
E1600627400000,6,national
E1600135700000,82,international
E1600627600000,72,national
E1402565600000,51,international
B1101428500000,18,national
E1600212900000,1,national
E1500285000000,12,international
E1600221000000,51,international
E1402771300000,35,national
B0901098400000,42,national
B1001314100000,22,national
B1101426200000,23,national
E1600592000000,174,international
B0901101100000,22,national
B1101425400000,20,national
E1402344100000,51,international
E1600213900000,6,national
E1600203300000,6,national
E1600212100000,57,national
E1600635200000,177,national
E1600245300000,2,national
E1600202200000,2,national
B1101519400000,1,national
E1500575400000,99,national
E1500121400000,59,international
E1600218100000,3,national
E1402603900000,59,international
E1600246500000,99,national
E1600221600000,99,national
E1600201900000,5,national
E1600202300000,96,national
E1600246900000,51,international
B1101350700000,8,national
E1600592400000,177,national
E1402488200000,59,international
E1600220100000,177,national
B1001330400000,59,international
B1101366300000,177,national
E1600247900000,101,international
B1001193200000,2,national
E1600203200000,12,international
E1500589700000,82,international
E1600638200000,101,international
E1600500900000,82,international
E1500274100000,203,international
E1600241800000,138,national
E1600191900000,31,national
E1500841200000,10,national
B1201568300000,2,national
E1600187100000,138,national
B1201617100000,2,national
E1500587600000,233,national
E1600210600000,31,national
E1500651500000,31,national
E1402513700000,138,national
B1201605900000,126,international
E1500424300000,171,national
E1500616300000,138,national
E1500575500000,138,national
E1600196400000,79,national
E1402650400000,138,national
E1500228600000,126,international
E1402613400000,76,international
E1600181000000,118,national
E1600177600000,31,national
E1500600100000,138,national
E1500668800000,233,national
E1500306700000,233,national
E1500676500000,126,international
E1402520500000,63,international
E1600209000000,138,national
B1101537900000,203,international
E1500411600000,171,national
B1201572300000,76,international
E1402668100000,63,international
E1500412100000,171,national
E1600181400000,79,national
E1600196700000,233,national
E1500545000000,138,national
E1600208100000,119,national
E1600211200000,233,national
E1500365300000,119,national
E1500491700000,31,national
E1500424700000,171,national
E1600190500000,138,national
E1600598200000,22,national
E1600186000000,233,national
E1500725500000,10,national
E1402709700000,31,national
E1600178500000,126,international
E1600241900000,47,national
E1600205600000,138,national
E1600240700000,138,national
E1500852700000,126,international
E1402604400000,76,international
E1600550500000,79,national
E1600195400000,233,national
E1600178200000,23,national
E1600180700000,4,national
E1600240800000,138,national
E1600210400000,79,national
E1600195900000,203,international
E1600208300000,203,international
B1101510400000,1,national
E1600196900000,31,national
E1500424200000,171,national
B1101427000000,79,national
E1500332200000,110,international
B1201569200000,2,national
E1600195500000,119,national
B1101519200000,7,national
E1500452400000,126,international
E1402401000000,203,international
E1600211600000,79,national
E1600211400000,79,national
E1600210000000,31,national
E1500587500000,233,national
E1500209600000,171,national
E1600221200000,46,national
E1402641300000,138,national
B1201670700000,1,national
E1500718800000,203,international
E1600178000000,79,national
B1201657700000,7,national
E1402375600000,63,international
E1500412600000,171,national
E1500361600000,20,national
E1500828600000,110,international
E1402520400000,76,international
E1600181100000,118,national
E1600179700000,79,national
E1600413900000,31,national
E1600212300000,233,national
B1101537800000,171,national
B1201623700000,31,national
E1402370500000,76,international
E1500307200000,20,national
B1201627800000,1,national
E1600177700000,31,national
E1500229500000,126,international
E1402378900000,203,international
E1500340400000,233,national
B1201586300000,29,national
E1402587700000,28,international
E1500718200000,203,international
E1600149700000,138,national
B1101504000000,1,national
B1201663500000,3,national
E1500273700000,119,national
E1500427900000,171,national
B1201564400000,2,national
B1201613900000,29,national
B1201676700000,1,national
B1101524900000,1,national
B1101420100000,23,national
E1402599600000,171,national
B1201630700000,1,national
E1600162200000,110,international
B1201676800000,7,national
E1600167900000,233,national
E1500425200000,171,national
B1201541400000,1,national
E1500228100000,126,international
E1500491300000,31,national
B1201686700000,1,national
B1201652600000,1,national
B1101535300000,171,national
E1402424000000,138,national
E1500424100000,171,national
B1201586400000,138,national
E1600167200000,31,national
B1201586000000,7,national
E1600184700000,233,national
E1500575300000,138,national
E1600193000000,233,national
E1600420400000,118,national
E1500702600000,79,national
B1201642000000,233,national
E1500413000000,171,national
B1201682400000,3,national
B1101528200000,4,collaboration
B1201564700000,2,national
E1600241500000,1,national
E1600196600000,233,national
B1201573200000,233,national
E1600207600000,63,international
E1500600300000,138,national
E1600195600000,119,national
E1600167300000,28,international
E1500167000000,110,international
B1201646900000,34,national
B1201558400000,34,national
B1201647100000,7,national
E1402450700000,126,international
E1600209600000,31,national
E1600189800000,118,national
E1500306300000,233,national
E1600180800000,31,national
B1201553500000,10,national
E1500425700000,171,national
E1500028700000,28,international
B1101414400000,34,national
E1600184500000,233,national
E1402590900000,203,international
E1500435900000,203,international
B0700792400000,3,national
B1201543900000,20,national
B1201674600000,233,national
E1600186800000,79,national
E1600211100000,110,international
E1600067500000,138,national
E1500284600000,28,international
E1402768500000,63,international
E1500541200000,10,national
E1600192200000,31,national
E1402579400000,63,international
E1600211800000,8,national
E1500306900000,233,national
E1600190600000,23,national
E1600235000000,7,national
E1500419500000,171,national
E1600167700000,138,national
B1001290000000,1,national
E1600180300000,63,international
B1101473200000,20,national
E1500412400000,171,national
E1600167100000,79,national
B1201673600000,4,national
B1201622800000,23,national
E1600180200000,46,national
B1201616800000,2,national
E1600207500000,23,national
E1600210100000,203,international
E1600207300000,46,national
E1500842300000,10,national
E1600608500000,46,national
E1500282300000,76,international
B1201663700000,1,national
B1201589400000,1,national
E1600185000000,118,national
B1201571900000,119,national
E1600184600000,138,national
E1500676000000,233,national
E1500693700000,203,international
E1402401600000,203,international
E1600206600000,138,national
B1101457200000,29,national
E1600209100000,138,national
E1500738700000,119,national
B1201628500000,31,national
E1402385700000,63,international
E1402589100000,203,international
E1500882400000,119,national
E1600192900000,233,national
E1500057700000,126,international
E1600208000000,233,national
E1500686900000,76,international
E1500096500000,110,international
E1500209300000,171,national
E1500717900000,203,international
B1101527800000,118,national
E1600234900000,138,national
E1402771500000,46,national
E1402601700000,76,international
B1101512800000,1,national
E1402603800000,76,international
B1101377500000,1,national
E1600177400000,119,national
E1500361300000,20,national
E1600187000000,79,national
E1500419400000,171,national
E1500841800000,10,national
E1500424400000,171,national
E1500340500000,233,national
E1600205100000,110,international
E1500122500000,76,international
E1500340800000,233,national
E1500361100000,20,national
E1402590500000,203,international
E1500361400000,20,national
B0700640600000,8,national
E1600192600000,31,national
E1600166200000,110,international
E1500203000000,126,international
E1600601500000,233,national
E1500412200000,171,national
E1500413400000,171,national
B1201681100000,110,international
E1500275200000,28,international
E1600186900000,119,national
E1500600400000,138,national
E1600208500000,203,international
B1101509000000,3,national
B1201554600000,6,national
E1402503600000,76,international
B1201656300000,1,national
E1500415900000,171,national
E1500421700000,233,national
E1600196200000,203,international
E1500423200000,171,national
E1600184900000,79,national
E1600205400000,126,international
E1600180100000,31,national
E1600166300000,138,national
E1600211000000,138,national
E1600240600000,138,national
E1600185100000,119,national
E1600206800000,110,international
E1500381700000,126,international
E1402604300000,76,international
E1500842000000,10,national
E1500412700000,171,national
B1201571700000,233,national
B1201567700000,63,international
B1201540200000,110,international
E1600177500000,79,national
E1500781800000,203,international
E1600179400000,110,international
B1201571600000,29,national
E1600177800000,31,national
E1500300100000,126,international
B1101495900000,1,national
B1201554700000,1,national
B1201686200000,4,national
E1500121500000,76,international
E1600240500000,118,national
E1500424500000,171,national
E1600207100000,138,national
E1600209500000,110,international
E1600218700000,4,national
B1201652400000,6,national
E1600583800000,138,national
E1500178200000,110,international
E1600196800000,233,national
B1101513200000,34,national
E1600207700000,110,international
E1402578800000,76,international
B1201659300000,1,national
E1600178100000,28,international
E1600210300000,118,national
B1201593600000,7,national
E1600167600000,1,national
B1201600900000,171,national
E1500340600000,233,national
E1500361500000,20,national
E1500307100000,233,national
E1402599300000,171,national
E1600167500000,79,national
E1500526700000,110,international
B1001312000000,19,national
E1500424600000,171,national
E1500307300000,233,national
B1101467000000,34,national
B1101513100000,29,national
E1600179900000,28,international
E1600197000000,14,national
E1600207800000,110,international
B1201567200000,233,national
B1201667100000,1,national
E1500345900000,233,national
E1500228700000,126,international
B1101526700000,34,national
E1402837300000,119,national
E1600181200000,14,national
