ancine_id,classind_id
E1600620100000,34794
E1600621200000,33972
E1402747400000,35791
B0800958700000,33790
B0901050700000,35948
E1600633300000,34425
E1600176700000,37256
B0901001900000,35243
E1600622900000,33830
E1600333900000,34101
E1600638300000,33852
B0901010000000,35028
E1600588600000,33840
E1600627900000,34074
B0901108200000,66579
E1402648600000,34793
E1600627200000,35122
E1600551200000,33989
E1500045900000,37533
B0901022100000,35353
E1600576300000,34666
E1600561600000,34464
E1600633800000,33967
E1600599500000,34948
B0800925800000,32957
E1600590200000,34292
E1600635000000,34657
B0901039400000,40331
E1600633900000,34380
E1402345200000,35388
E1600117000000,34618
E1500530700000,33590
E1500288700000,33966
B0901010400000,34965
E1402434000000,34015
B0901019900000,35620
E1600636100000,37538
E1600546200000,33443
E1500204900000,35124
E1500883100000,34549
B0800959100000,33909
E1600636700000,34600
E1600639100000,33978
E1600637600000,34445
E1600639400000,34621
E1402563700000,34223
B0901041400000,35943
B1001259800000,40805
B1001180900000,40475
B0901007400000,35381
B1001302600000,42227
E1600629300000,37651
E1500053000000,42083
E1600637300000,37653
E1500426500000,42657
B0800935800000,42259
E1600541900000,41205
B0901121200000,38191
B0500378700000,39024
E1700239200000,38099
E1600541100000,38778
E1600630200000,38680
E1600030600000,41521
E1600000300000,39046
E1600557100000,35596
E1600550600000,42226
E1600553600000,38698
B1001189100000,58197
E1600583500000,42755
B1001205200000,41021
B1001311400000,42176
E1500390400000,34125
E1500138700000,42220
E1600432700000,38578
E1500425800000,41966
E1600544800000,39471
E1600443800000,38858
E1600607900000,42843
E1600545000000,39430
E1700239300000,39704
E1500931800000,39507
E1600599800000,39513
E1500081600000,38595
E1600588400000,40406
E1600632900000,38678
E1600611700000,37264
E1600612400000,39554
E1600537000000,38596
E1402419000000,51587
E1600613600000,38405
B1001257100000,40886
B0700745800000,33608
B1001251100000,40422
E1500029300000,42769
E1600637200000,38580
B1001229000000,40182
B1001187000000,39609
E1500793000000,40404
E1600639000000,40186
E1600639500000,41533
E1500203600000,47126
B1101416000000,44517
E1600197400000,46066
E1600243500000,51617
E1500718100000,42072
E1600213800000,46721
B1101483300000,46675
E1600552400000,44879
E1600630000000,43326
B1101348300000,43177
B1101347100000,43327
E1600202000000,45772
E1500427400000,44135
E1500441200000,43221
E1402595200000,46374
B1001303400000,46991
B1101459300000,46239
B1001187800000,42573
E1600590300000,42973
E1500587800000,45807
E1600214600000,46673
E1600134200000,43716
B1001284500000,42500
E1600583700000,45143
E1600542300000,42848
E1500589800000,47359
E1500674500000,43551
E1402603700000,44087
B1001190900000,44600
E1600203400000,45469
B0901034700000,35738
E1600607100000,45527
E1600218400000,45568
E1600221400000,44678
E1600636600000,43638
E1600202500000,45632
E1500229100000,47307
B1101460700000,46840
E1600218800000,45500
E1600214000000,46810
B1101431800000,44913
B1001296100000,42301
E1600221100000,46171
E1500427300000,41677
E1600212500000,47276
B1001307300000,46621
E1600135000000,43717
B1001324700000,43115
B1101428500000,45146
E1600212900000,46935
E1500285000000,47080
E1402771300000,43272
B0901101100000,44483
E1600212100000,47432
E1600245300000,32007
E1600202200000,47070
E1600218100000,46181
E1402488200000,43329
E1600203200000,45460
E1600638200000,44790
B1201568300000,50481
E1600187100000,50280
B1201617100000,50226
E1600210600000,47397
E1600196400000,48380
E1402650400000,51176
B1201572300000,48765
E1402709700000,47395
E1600240800000,49843
E1600195900000,48830
E1600208300000,48037
B1101510400000,47380
E1402401000000,44608
E1600211600000,47311
E1600211400000,47587
E1500718800000,47264
E1500361600000,50438
E1600179700000,49710
B1201627800000,50612
E1500425200000,48938
B1201682400000,55471
E1600241500000,48964
B1201647100000,50804
E1500425700000,51116
E1402590900000,49414
E1500435900000,51246
E1500419500000,48894
B1101473200000,47270
E1600180200000,49906
B1201616800000,50176
E1600210100000,47712
B1201571900000,50221
E1402401600000,48651
E1600208000000,48367
E1500419400000,47929
E1500340800000,49348
E1600601500000,50964
E1600186900000,50367
E1600196200000,49017
E1500423200000,48507
E1600166300000,51344
E1500842000000,52258
B1201567700000,48515
E1500781800000,51119
B1201571600000,48974
E1600209500000,47755
E1600178100000,50901
B1101467000000,45832
E1500255600000,53219
E1500627500000,55112
B1201614400000,55480
E1600179600000,51199
E1500523700000,56237
E1500423800000,53435
B1301712400000,52917
E1600218900000,55351
B1101527400000,50129
E1600159700000,54672
B1301760500000,53997
E1402442200000,53218
E1600140300000,55876
B1301983400000,55966
E1500499200000,55400
B1402090800000,55752
E1600234500000,53606
B1201671900000,53320
E1600140800000,55516
E1500491100000,55840
B1301940300000,55689
E1600171900000,52487
E1500171800000,53385
B1301806500000,55875
B1301816900000,54551
E1600188400000,53972
E1600188300000,52849
B1101505000000,24804
E1500425000000,50164
B1301925900000,48396
E1600139900000,55718
E1600621600000,55872
E1600161600000,52456
B1301898000000,55058
E1500576500000,54277
B1301836900000,55841
E1600190000000,52224
E1600186300000,53967
B1301808000000,54921
B1301712200000,52474
E1600664400000,53337
E1500692500000,55885
E1500781600000,55878
E1402396500000,60674
B1201580500000,52476
E1402488400000,52978
E1500715900000,52909
E1402668000000,56241
E1402414300000,57637
E1600129700000,56421
B1302020900000,57465
E1600133500000,57809
B1301910400000,54723
B1402070900000,57519
B1301902100000,57213
E1600113700000,57372
B1402080700000,57645
B1201629200000,54250
E1402380000000,58679
E1402337700000,57770
E1402436400000,56980
E1402820700000,57283
E1500734400000,57731
B1301999100000,56305
B1402145700000,57109
B1302055400000,57018
E1600137600000,56162
E1600133600000,56565
E1402425800000,58670
E1500623300000,58546
E1402415700000,56528
E1600134800000,56963
E1600227400000,58340
E1500402600000,57767
E1402389500000,58506
E1600114700000,57375
E1402380500000,58511
E1402600300000,57440
E1402631100000,57062
B1301810400000,56996
B1402126100000,56830
E1402596300000,58219
B1201544500000,51702
E1402514300000,13011
E1600144800000,57033
E1600108200000,57669
E1600117500000,57334
E1500401800000,57885
E1600120100000,57049
E1600120300000,56981
E1500528900000,57781
E1500090300000,58772
B1402682900000,58935
E1500054700000,57342
B1302060500000,57482
E1402623500000,56201
B1402271000000,58283
B1402137200000,57356
E1402642100000,57436
B1402118500000,57655
B1001167100000,54818
B1301939800000,57154
B1402186400000,59815
B1402151100000,57490
E1600112400000,57549
B1402635200000,54255
B1402178100000,57601
B1402168700000,57626
B1402294200000,58392
E1600107200000,57954
E1402601200000,58105
E1402362500000,55761
B1402449000000,57214
B1402241100000,57941
E1600111000000,57722
B1500311000000,59590
B1402125800000,59239
E1500742700000,60456
B1402730900000,59054
B1500105700000,59799
E1500918500000,60882
E1500485500000,60268
B1402781000000,59341
E1402767400000,58824
E1500716200000,60486
E1402627100000,58843
E1500717600000,60710
B1500276200000,60602
E1500772500000,60568
E1500803600000,60056
E1500486000000,59986
B1500840400000,60702
E1500224000000,59381
B1500340300000,59606
B1500315900000,59616
B1402144900000,57959
E1500239800000,59426
E1500662700000,60334
E1500396700000,59801
B1500344400000,59630
E1500752900000,60560
E1500387600000,59812
B1402117400000,57937
E1500404100000,59866
E1500447500000,59897
B1500186700000,59804
E1500348100000,59723
E1500220000000,59347
E1500015800000,58952
E1500485400000,60331
B1500585700000,60084
B1201663300000,60511
E1500725100000,60464
B1500224200000,59310
B1402704900000,58784
E1500310700000,60356
E1402302900000,58979
B1402475600000,60041
E1500011100000,59100
E1500311600000,59796
E1402447200000,58622
B1402825200000,59508
E1500481900000,59985
E1402760300000,58819
E1500313400000,60058
E1500254800000,59535
E1500212900000,59595
E1500287700000,59601
E1500567600000,60194
E1402767500000,58823
B1402197800000,59889
B1402156500000,57747
B130174300000,59591
B1402275800000,58572
B1402108000000,59940
