ancine_id,tmdb_id
B1500311000000,348541
B1500315900000,364597
B1500334900000,360211
B1500408100000,360113
B1500416000000,326983
B1500464600000,360289
B1500489800000,402616
B1500496600000,427674
B1500572900000,364598
B1500575600000,299751
B1500585400000,362313
B1500636700000,360212
B1500643000000,355282
B1500711400000,362448
B1500712100000,361783
B1500723200000,360176
B1500794300000,426790
B1500801000000,352000
B1500837400000,282475
B1500843400000,348116
B1500866700000,422192
B1600012800000,428705
B1600019500000,419437
B1600041000000,441601
B1600050100000,360815
B1600052200000,709356
B1600067600000,392510
B1600116700000,381141
B1600187400000,431172
B1600193300000,447201
B1600287300000,409304
B1600332400000,417498
B1600337700000,406116
B1600341800000,401363
B1600403600000,364694
B1600412300000,420293
B1600441200000,417484
B1600502400000,377362
B1600514100000,456843
B1600520300000,418687
B1600532000000,417589
B1600543700000,413870
B1600569700000,461247
B1600625200000,417590
B1600625500000,427720
B1600639200000,420318
B1600641100000,430135
B1600660100000,461531
B1600677900000,395605
B1600685100000,417555
B1600707400000,544773
B1600714000000,409312
B1600716200000,428703
B1600725300000,409309
B1600780500000,381138
B1600785500000,494146
B1700028400000,421608
B1700090400000,417567
B1700220800000,494143
B1700249500000,408296
B1700259900000,598549
B1700275000000,458335
B1700316600000,480968
B1700316900000,460661
B1700329300000,478662
B1700332800000,638200
B1700381100000,473637
B1700406200000,532125
B1700411300000,469950
B1700435100000,453936
B1700479800000,475380
B1700497900000,481254
B1700508700000,480637
B1700509000000,459687
B1700524700000,486762
B1700541700000,481093
B1700544600000,533857
B1700546500000,480508
B1700560500000,480504
B1700571300000,555768
B1700581200000,494223
B1700581500000,492714
B1700600300000,470202
B1700602000000,602047
B1700605900000,420269
B1800029400000,615322
B1800038700000,512314
B1800044200000,556205
B1800073300000,420324
B1800090200000,480406
B1800115900000,417368
B1800131200000,263610
B1800135100000,609894
B1800193400000,527205
B1800234700000,461823
B1800235200000,523065
B1800250800000,480704
B1800287300000,540932
B1800287700000,540017
B1800311900000,538642
B1800323800000,472309
B1800362300000,568402
B1800374500000,499536
B1800387700000,545484
B1800397100000,506464
